SKU,Nombre,Marca,Precio,Precio Lista,Stock
104539749,Removedor Quita Motas Lanas Pelusas Electrico Inalambrico,GENERICO,0,0,0
563716,Cera  BEISBOL limpiadora autobrillante (1800  ml),BEISBOL,63300,63300,10000
573800,Desengrasante NEW ANDIN varsol desmanchador (810  ml),NEW ANDIN,16900,18100,10000
3065150,Absorbente de humedad FRESHWAY para refrigerador (80  gr),FRESHWAY,13950,13950,10000
104169733,Tide X 156 Pods,PROCTER GAMBLE COLOMBIA,0,0,0
1651509,Jabón en barra UNICO x6und con bicarbonato (1080  gr),UNICO,12350,12350,10000
1762208,Jabón en barra UNICO x3und multiusos (840  gr),UNICO,9330,9330,10000
104170930,Blanqueador Sin Cloro Lavanda,FULLER PINTO,0,0,0
1474614,Detergente en polvo T/L/D TODOS LOS DIAS oxígeno activo aroma floral (3000  gr),T/L/D TODOS LOS DIAS,24750,24750,10000
104586650,Secador De Zapatos Portatil Evita Hongos Y Malos Olores,GENERICO,0,0,0
1750362,Limpiador ETERNA antibacterial multi superficies (1000  ml),ETERNA,23350,23350,10000
104170925,Detergente Prendas Delicadas,FULLER PINTO,0,0,0
573761,Limpiapisos SANPIC lavanda (5000  ml),SANPIC,37950,37950,10000
3363626,Cápsulas de detergente ETERNA en polvo (400  gr),ETERNA,31450,31450,10000
984775,Jabón de barra JIRAFA limón (750  gr),JIRAFA,8040,8040,10000
3419084,Spray Limpiador HOMEBRIGHT MARCA EXCLUSIVA De Vidrios (369  gr),HOMEBRIGHT MARCA EXCLUSIVA,10650,10650,10000
28096,Tinte para ropa TINTE HOGAR azul índigo (120  gr),TINTE HOGAR,19300,19300,10000
182192,Preplanchado NIAGARA original limón (567  ml),NIAGARA,22900,25300,10000
3158661,Limpiador BUFALO multiusos (600  ml),BUFALO,12360,18050,10000
3659470,Limpiador BLANCOX multiusos oxi pro primaveral (1800  ml),BLANCOX,15600,20800,10000
637985,Desmanchador de óxido textil NEW ANDIN Cartón Verde (15  ml),NEW ANDIN,8910,8910,10000
3375286,Limpiapisos FABULOSO Antibacterial Violeta (5000  ml),FABULOSO,30500,30500,10000
672939,Cera BEISBOL escarlata (700  ml),BEISBOL,17400,20450,10000
103743052,Quitamanchas Bye Bye Manchas X2 Und,DROPS,0,0,0
3725451,Limpiador LIMPIAYA lavanda (760  ml),LIMPIAYA,4330,4920,10000
3219858,Limpiador BUFALO pisos porcelanato (600  ml),BUFALO,14480,18100,10000
3007126,Limpiador GLASSI anti empañante (1000  ml),GLASSI,13350,13350,10000
446848,JABON DE LAVAR 3U SIN FRA,UNICO,11600,11600,10000
3526305,Cera  T/L/D TODOS LOS DIAS limpiadora para pisos neutra (700  ml),T/L/D TODOS LOS DIAS,16450,16450,10000
104750996,Quitamotas Removedor De Pelusas Lanas Recargable Eléctrico 220V,GENERICO,0,0,0
104170928,Blanqueador Floral Sin Cloro,FULLER PINTO,0,0,0
104170924,Gancho Para Ropa X10 Und,FULLER PINTO,0,0,0
104170063,Quitamanchas De Tinta 4 Unds,FULLER PINTO,0,0,0
